YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2022-W01,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,SGSK,8978929
2022-W01,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,SGSK,8978929
2022-W01,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,SGSK,8978929
2022-W01,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,SGSK,8978929
2022-W01,AT,7427239,0,0,0,,0,0,0,0,0,0,0,AT,ALL,SGSK,8978929
2022-W01,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,UNK,8978929
2022-W01,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,UNK,8978929
2022-W01,AT,260101,0,0,0,,0,0,0,0,0,0,1,AT,Age15_17,UNK,8978929
2022-W01,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,UNK,8978929
2022-W01,AT,3005708,0,0,0,,0,0,0,0,0,0,18,AT,Age25_49,UNK,8978929
2022-W01,AT,435176,0,0,0,,0,0,0,0,0,0,1,AT,Age5_9,UNK,8978929
2022-W01,AT,1392642,0,0,0,,0,0,0,0,0,0,5,AT,Age50_59,UNK,8978929
2022-W01,AT,1086320,0,0,0,,0,0,0,0,0,0,4,AT,Age60_69,UNK,8978929
2022-W01,AT,741680,0,0,0,,0,0,0,0,0,0,2,AT,Age70_79,UNK,8978929
2022-W01,AT,524214,0,0,0,,0,0,0,0,0,0,1,AT,Age80+,UNK,8978929
2022-W01,AT,1551690,0,0,0,,0,0,0,0,0,0,2,AT,Age<18,UNK,8978929
2022-W01,AT,7427239,0,0,0,,0,0,0,0,0,0,30,AT,ALL,UNK,8978929
2022-W01,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,VLA,8978929
2022-W01,AT,424628,0,0,0,,0,0,0,0,0,0,0,AT,Age10_14,VLA,8978929
2022-W01,AT,260101,0,0,0,,0,0,0,0,0,0,0,AT,Age15_17,VLA,8978929
2022-W01,AT,676675,0,0,0,,0,0,0,0,0,0,0,AT,Age18_24,VLA,8978929
2022-W01,AT,3005708,0,0,0,,0,0,0,0,0,0,0,AT,Age25_49,VLA,8978929
2022-W01,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,VLA,8978929
2022-W01,AT,1392642,0,0,0,,0,0,0,0,0,0,0,AT,Age50_59,VLA,8978929
2022-W01,AT,1086320,0,0,0,,0,0,0,0,0,0,0,AT,Age60_69,VLA,8978929
2022-W01,AT,741680,0,0,0,,0,0,0,0,0,0,0,AT,Age70_79,VLA,8978929
2022-W01,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,VLA,8978929
2022-W01,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,VLA,8978929
2022-W22,AT,3005708,0,0,7,,1,3,15,0,0,0,0,AT,Age25_49,JANSS,8978929
2022-W22,AT,435176,0,0,0,,0,0,0,0,0,0,0,AT,Age5_9,JANSS,8978929
2022-W22,AT,1392642,0,0,0,,0,2,12,0,0,0,0,AT,Age50_59,JANSS,8978929
2022-W22,AT,1086320,0,0,0,,0,1,2,0,0,0,0,AT,Age60_69,JANSS,8978929
2022-W22,AT,741680,0,0,0,,0,3,1,0,0,0,0,AT,Age70_79,JANSS,8978929
2022-W22,AT,524214,0,0,0,,0,0,0,0,0,0,0,AT,Age80+,JANSS,8978929
2022-W22,AT,1551690,0,0,0,,0,0,0,0,0,0,0,AT,Age<18,JANSS,8978929
2022-W22,AT,7427239,0,0,7,,1,10,30,0,0,0,0,AT,ALL,JANSS,8978929
2022-W22,AT,431785,0,0,0,,0,0,0,0,0,0,0,AT,Age0_4,MOD,8978929
